Date,Open,High,Low,Close,Volume
7/13/2011,86.74,88.65,86.54,87,7116891
7/14/2011,87.23,87.63,85.76,85.92,6904962
7/15/2011,86.64,88.2,86.47,87.99,8110395
7/18/2011,88.04,88.04,86.7,87.21,7884635
7/19/2011,88.14,88.99,87.66,88.7,6959871
7/20/2011,89.55,89.55,88.11,88.41,6263635
7/21/2011,88.98,91.02,88.97,90.96,11175360
7/22/2011,93.17,94.44,92.25,93.81,15465666
7/25/2011,92.75,95.53,92.71,94.7,10267092
7/26/2011,94.54,94.96,93.66,93.93,8456502
7/27/2011,93.12,93.79,91.35,91.68,8744944
7/28/2011,91.52,92.73,91.36,91.4,6977106
7/29/2011,90.04,91.54,89.8,90.37,9177318
8/1/2011,91.86,92.22,89.19,90.21,8593981
8/2/2011,89.21,90.9,87.53,87.62,10362617
8/3/2011,87.5,87.66,84.32,87.19,11528990
8/4/2011,85.28,85.54,80.61,80.79,19612527
8/5/2011,82.5,82.85,77.24,80.88,18744313
8/8/2011,77.27,79.34,73.11,73.67,28514343
8/9/2011,75.56,77.78,72.82,77.63,22087094
8/10/2011,77.6,78,73.48,73.81,18124141
8/11/2011,74.91,78.8,72.8,77.53,17316364
8/12/2011,78.81,79.08,77.01,77.99,8807247
8/15/2011,78.91,80.64,78.88,80.07,9052903
8/16/2011,79.09,80.26,77.69,78.63,9374074
8/17/2011,80.19,81.33,78.9,79.52,9077119
8/18/2011,76.5,77.27,73.46,74.41,14628635
8/19/2011,73,75.66,72.36,73.12,13283538
8/22/2011,75.38,75.49,72.26,72.49,8767228
8/23/2011,72.96,76.17,72.13,76.13,8674957
8/24/2011,75.8,76.4,74.35,76.23,8635109
8/25/2011,76.7,77.23,72.77,73.11,11468392
8/26/2011,73.05,75.41,72.1,74.84,12202425
8/29/2011,76.41,77.37,75.54,77.25,7015140
8/30/2011,76.79,78.02,75.69,77.33,10297559
8/31/2011,77.91,79.29,77.44,78.12,11718799
9/1/2011,78.19,79.54,76.42,76.5,11194891
9/2/2011,74.51,75.35,73.37,74.42,8994708
9/6/2011,71.95,74.5,71.35,74.32,10659880
9/7/2011,75.65,76.9,75.4,76.79,7944992
9/8/2011,75.35,76.74,75.13,75.47,10683624
9/9/2011,73.87,74.12,71.33,71.8,13357646
9/12/2011,70.79,72.41,69.94,72.38,11098548
9/13/2011,72.21,72.8,70.62,72.13,8844849
9/14/2011,72.7,73.89,70.34,72.93,10927660
9/15/2011,74.31,74.59,72.84,74.22,8775416
9/16/2011,74.95,75.25,72.16,72.84,11825628
9/19/2011,70.4,71.29,69.25,70.76,12894726
9/20/2011,71.36,71.45,69.28,69.29,13278678
9/21/2011,69.38,69.45,65.12,65.15,18366015
9/22/2011,62.54,63.2,59.88,61.22,24608618
9/23/2011,60.55,62.22,60.23,61.2,16740375
9/26/2011,61.77,63.39,58.77,63.27,19666719
9/27/2011,64.85,66.18,62.77,63.42,16527992
9/28/2011,63.59,63.95,60.1,60.33,12653295
9/29/2011,62.19,62.68,60.03,61.33,12356382
9/30/2011,60,61.25,59.38,59.73,14908945
10/3/2011,58.9,59.95,57.72,57.72,15980583
10/4/2011,56.12,59.32,54.79,59.11,20236027
10/5/2011,59.27,62.1,58.25,61.58,15234241
10/6/2011,62.51,64.25,61.02,63.89,14736597
10/7/2011,63.95,64.08,61.92,62.64,12000903
10/10/2011,64.61,66.08,64.61,65.79,10362085
10/11/2011,65.46,68.04,65.25,66.82,14478886
10/12/2011,67.36,68.62,66.82,67.31,12050176
10/13/2011,67,67.58,65.74,67.2,10978544
10/14/2011,68.64,70.99,68.53,70.94,11508203
10/17/2011,69.74,69.93,67.17,67.52,12283303
10/18/2011,67.54,70.4,66.6,69.91,10030192
10/19/2011,69.83,70.93,67.73,67.9,10644496
10/20/2011,68,68.81,66.5,67.99,13141771
10/21/2011,68.64,69.28,66.52,67.38,21589567
10/24/2011,67.78,69.95,67.4,69.88,11199364
10/25/2011,70.32,70.52,67.78,68.03,11878362
10/26/2011,69.34,70.34,67.31,69.84,11805113
10/27/2011,72.76,76.56,72.76,74.54,18201405
10/28/2011,74.95,76.93,74.64,75.96,10836737
10/31/2011,74.99,75.49,73.11,73.47,10499767
11/1/2011,69.81,72.43,69,71.13,15946561
11/2/2011,72.89,72.98,71.4,72.74,8187521
11/3/2011,73.81,76.2,73.13,75.93,11993837
11/4/2011,74.75,76.73,73.92,74.97,10631820
11/7/2011,75.02,76.47,73.97,75.33,6756175
11/8/2011,75.94,77.05,74.72,76.83,8863983
11/9/2011,74.4,74.69,72.86,73.09,12586017
11/10/2011,74.34,74.88,72.82,74.05,7601107
11/11/2011,75.22,77.15,74.37,76.54,8356852
11/14/2011,75.51,76.63,75,75.62,5961523
11/15/2011,75.3,76.63,74.51,75.97,7884815
11/16/2011,75.35,76.87,74.69,74.77,13266057
11/17/2011,74.68,74.97,70.89,71.71,12046341
11/18/2011,72.76,72.76,70.16,71.32,9633658
11/21/2011,69.94,70.65,68.65,70.18,8494917
11/22/2011,69.79,70.49,68.6,68.95,7934259
11/23/2011,67.95,68.36,66.18,66.5,9720775
11/25/2011,66.11,67.81,66.06,66.37,3545187
11/28/2011,68.49,69.87,68.44,69.22,8296507
11/29/2011,69.84,71.33,69.07,70.43,7447372
11/30/2011,73.18,75.5,73.04,75.33,12319761
12/1/2011,75.16,76.05,74.25,74.87,7551388
12/2/2011,75.9,76.72,74.84,75.01,7055273
12/5/2011,76.29,77.39,75.93,77.15,9642000
12/6/2011,76.86,77.65,75.93,76.65,7792416
12/7/2011,75.79,76.1,74.34,75.09,9843936
12/8/2011,74.24,75.35,71.65,71.95,12316807
12/9/2011,72.14,74.56,72.04,74.15,10490392
12/12/2011,72.85,72.99,70.58,71.92,9502596
12/13/2011,72.58,73.76,70.01,70.41,9915696
12/14/2011,69.18,69.51,66.82,67,13812527
12/15/2011,68.08,68.48,66.18,66.33,8450452
12/16/2011,67.13,67.95,65.81,66.91,11768209
12/19/2011,67.42,67.42,64.95,65.07,8046676
12/20/2011,66.7,68.58,66.69,68.17,8083923
12/21/2011,68.39,68.62,66.36,67.71,7832403
12/22/2011,68.4,68.4,66.72,67.93,8722996
12/23/2011,68.25,69.14,68.01,69.14,4507919
12/27/2011,69.06,69.56,68.6,68.6,4345709
12/28/2011,68.59,69,66.79,67.04,6324339
12/29/2011,67.07,67.74,67,67.41,4690818
12/30/2011,67.24,68.54,67.14,68.31,5536328
1/3/2012,70.4,70.89,69.6,70.09,7669265
1/4/2012,70.13,70.44,69.23,69.56,6569169
1/5/2012,68.98,69.07,67.14,68.07,10804250
1/6/2012,68.5,68.73,67.36,67.78,8985998
1/9/2012,68.27,68.96,67.88,68.82,5623783
1/10/2012,70.46,71.06,70.25,70.75,8985179
1/11/2012,70.59,70.6,69.41,70.16,7503792
1/12/2012,70.58,71.49,68.19,69.7,8774953
1/13/2012,69.01,69.15,67.72,67.99,9713097
1/17/2012,69.37,69.74,67.4,67.64,11759989
1/18/2012,67.14,70.66,67.12,70.63,13097366
1/19/2012,71.22,73,71.22,72.86,12787412
1/20/2012,73.8,75.75,72.6,73.8,18105826
